a,b,p_calib
-125,19,5.6816114337383567e-08
-125,20,4.7991505906536411e-08
-125,21,3.039820025569634e-08
-125,22,3.9028531671057119e-08
-125,23,2.9621764432227132e-08
-125,24,3.5765785468266778e-08
-125,25,6.7620719273893954e-09
-125,26,2.7137698105198793e-08
-125,27,1.830065424292067e-08
-125,28,3.53505120523291e-08
-125,29,1.6523906718874178e-08
-125,30,2.6139298831661002e-08
-125,31,2.1161497678899842e-08
-125,32,3.2168911699343465e-08
-125,33,1.9484731564353716e-08
-125,34,1.9485126146569211e-08
-125,35,1.8921121456839279e-08
-125,36,2.6029203874842531e-08
-125,37,1.5122735517299707e-08
-125,38,1.9597214016558312e-08
-125,39,2.7326504919121156e-08
-125,40,1.5664933216628554e-08
-125,41,1.255635474032515e-08
-125,42,2.9589336952894333e-08
-125,43,7.9719387593328502e-09
-125,44,8.8178436163388947e-09
-125,45,4.9333023922577258e-09
-125,46,1.9932967732687824e-08
-125,47,1.2188900735306904e-09
-125,48,1.9466226331711949e-08
-125,49,9.355300539625475e-09
-125,50,2.5267225928901212e-08
-125,51,1.6599900749343302e-08
-125,52,6.020810966056445e-09
-125,53,2.433576563936075e-10
-125,54,3.1568545574418773e-09
-125,55,1.0649757822073422e-08
-125,56,1.6722780390691769e-09
-125,57,4.3083155724046659e-09
-125,58,6.0367398322780768e-09
-125,59,4.171640131429583e-09
-125,60,9.7874028051553482e-09
-125,61,1.3643168224598551e-08
-125,62,1.258767499897736e-08
-125,63,4.5018007107378992e-10
-125,65,2.7761103642735031e-09
-125,66,1.1435724064690391e-08
-125,67,7.0927700199792256e-09
-125,69,1.5696885189566182e-09
-125,70,7.227374857535935e-09
-125,71,1.4689953567871855e-10
-125,72,5.9086136031631191e-09
-125,73,4.5018007107378992e-10
-125,74,1.6183442443356805e-09
-125,75,8.1184115478529733e-09
-125,76,6.1543888024612676e-09
-125,77,3.8262146361007043e-09
-125,78,8.0219534174236338e-09
-125,79,7.5030009995259949e-11
-125,80,1.0923598554869869e-09
-125,81,7.5030009995259949e-11
-125,82,9.7874028051553482e-09
-125,84,3.0972794486490782e-11
-125,85,5.9086136031631191e-09
-125,86,1.0129051605650855e-09
-125,90,2.7010804264427395e-09
-125,93,1.500600199905199e-10
-125,94,3.2313473516045137e-09
-125,96,5.9086136031631191e-09
-125,98,2.6260504886119764e-09
-125,101,5.9086136031631191e-09
