[design] quality quad4 entries=56
[device] cuda
[initial] score=0.0563505383 wNMSE=0.00017081905 wMSE=5095.1875 wMRED=0.07588822 wER=0.242188 wMAE=28.6875 wBias=17.1875 condBias=35.6903 dotDrift=+15.410sigma uMRED=0.0758882163 uER=0.242188 uMAE=28.6875 WCE=252 bias=17.1875
[quad_soft:00600] loss=0.041505 tau=1.77 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:00800] loss=0.040679 tau=1.86 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:01000] loss=0.039854 tau=1.95 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:01200] loss=0.039030 tau=2.04 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:01400] loss=0.038206 tau=2.13 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:01600] loss=0.037382 tau=2.22 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:01800] loss=0.036558 tau=2.31 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:02000] loss=0.035734 tau=2.40 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:02200] loss=0.034910 tau=2.49 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
[quad_soft:02400] loss=0.034086 tau=2.58 collapse_w=0.000 mid_frac=0.107 hard=score=0.0009953549 wNMSE=3.6878123e-07 wMSE=11.0000 wMRED=0.00172036 wER=0.125000 wMAE=1.0000 wBias=0.2500 condBias=1.6583 dotDrift=+4.824sigma uMRED=0.0017203641 uER=0.125000 uMAE=1.0000 WCE=16 bias=0.2500
