[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_soft:02800] loss=0.036599 tau=2.76 collapse_w=0.000 mid_frac=0.167 hard=score=0.0495854147 wNMSE=0.00087985943 wMSE=67.0280 wMRED=0.02846104 wER=0.092241 wMAE=1.5920 wBias=0.8974 condBias=4.0913 dotDrift=+7.015sigma uMRED=0.0046634626 uER=0.144531 uMAE=3.1250 WCE=64 bias=1.3750
[quad_soft:03000] loss=0.036122 tau=2.85 collapse_w=0.000 mid_frac=0.167 hard=score=0.0350453344 wNMSE=0.00083292243 wMSE=63.4523 wMRED=0.02996025 wER=0.092241 wMAE=1.6471 wBias=0.7366 condBias=3.9805 dotDrift=+5.918sigma uMRED=0.0048324624 uER=0.144531 uMAE=3.2500 WCE=64 bias=1.1250
[quad_soft:03200] loss=0.035569 tau=2.94 collapse_w=0.000 mid_frac=0.188 hard=score=0.0058046114 wNMSE=0.00013761935 wMSE=10.4839 wMRED=0.01950052 wER=0.084414 wMAE=0.8194 wBias=-0.2921 condBias=1.6180 dotDrift=-5.773sigma uMRED=0.0022735163 uER=0.125000 uMAE=1.5000 WCE=16 bias=-0.8750
[quad_soft:03400] loss=0.035127 tau=3.03 collapse_w=0.000 mid_frac=0.188 hard=score=0.0058046114 wNMSE=0.00013761935 wMSE=10.4839 wMRED=0.01950052 wER=0.084414 wMAE=0.8194 wBias=-0.2921 condBias=1.6180 dotDrift=-5.773sigma uMRED=0.0022735163 uER=0.125000 uMAE=1.5000 WCE=16 bias=-0.8750
[quad_soft:03600] loss=0.034632 tau=3.12 collapse_w=0.000 mid_frac=0.188 hard=score=0.0058046114 wNMSE=0.00013761935 wMSE=10.4839 wMRED=0.01950052 wER=0.084414 wMAE=0.8194 wBias=-0.2921 condBias=1.6180 dotDrift=-5.773sigma uMRED=0.0022735163 uER=0.125000 uMAE=1.5000 WCE=16 bias=-0.8750
[quad_soft:03800] loss=0.032681 tau=3.21 collapse_w=0.000 mid_frac=0.188 hard=score=0.0089334482 wNMSE=0.00017127295 wMSE=13.0476 wMRED=0.02107776 wER=0.084414 wMAE=0.8999 wBias=-0.3725 condBias=1.8050 dotDrift=-6.600sigma uMRED=0.0024679517 uER=0.125000 uMAE=1.6250 WCE=20 bias=-1.0000
[quad_soft:04000] loss=0.037642 tau=3.30 collapse_w=0.000 mid_frac=0.188 hard=score=0.0089334482 wNMSE=0.00017127295 wMSE=13.0476 wMRED=0.02107776 wER=0.084414 wMAE=0.8999 wBias=-0.3725 condBias=1.8050 dotDrift=-6.600sigma uMRED=0.0024679517 uER=0.125000 uMAE=1.6250 WCE=20 bias=-1.0000
[quad_soft:04200] loss=0.028136 tau=3.39 collapse_w=0.000 mid_frac=0.167 hard=score=0.0058046114 wNMSE=0.00013761935 wMSE=10.4839 wMRED=0.01950052 wER=0.084414 wMAE=0.8194 wBias=-0.2921 condBias=1.6180 dotDrift=-5.773sigma uMRED=0.0022735163 uER=0.125000 uMAE=1.5000 WCE=16 bias=-0.8750
[quad_soft:04400] loss=0.027259 tau=3.48 collapse_w=0.000 mid_frac=0.167 hard=score=0.0089334482 wNMSE=0.00017127295 wMSE=13.0476 wMRED=0.02107776 wER=0.084414 wMAE=0.8999 wBias=-0.3725 condBias=1.8050 dotDrift=-6.600sigma uMRED=0.0024679517 uER=0.125000 uMAE=1.6250 WCE=20 bias=-1.0000
[quad_soft:04600] loss=0.026198 tau=3.57 collapse_w=0.000 mid_frac=0.167 hard=score=0.0058046114 wNMSE=0.00013761935 wMSE=10.4839 wMRED=0.01950052 wER=0.084414 wMAE=0.8194 wBias=-0.2921 condBias=1.6180 dotDrift=-5.773sigma uMRED=0.0022735163 uER=0.125000 uMAE=1.5000 WCE=16 bias=-0.8750
[quad_soft:04800] loss=0.025309 tau=3.66 collapse_w=0.000 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:05000] loss=0.024712 tau=3.75 collapse_w=0.000 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:05200] loss=0.023376 tau=3.84 collapse_w=0.000 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
